,Scar1,Scar2,cellCount1,cellCount2
0,1337:45M1I12M17S,20:45M14D30M,89,447
1,12:42M6D33M,80:49M11D26M,118,28
2,11:43M7D32M,20:45M14D30M,28,447
3,35:43M21D32M,737:50M8D25M,192,34
4,1432:48M5I22M,28:44M9D31M,18,43
5,20:45M14D30M,748:40S35M,447,19
6,32:75M,664:40M1I1M9D33M,27,12
7,1209:49M26S,35:43M21D32M,9,192
8,1220:49M26S,32:75M,5,27
9,35:43M21D32M,67:48M1I26M,192,12
10,28:44M9D31M,558:44M3D3M6I22M,43,4
11,102:31M22D44M,44:44M3D31M,17,16
12,1299:49M26S,44:44M3D31M,22,16
13,11:43M7D32M,67:48M1I26M,28,12
14,23:30M20D45M,32:75M,7,27
15,219:48M27S,557:45M5D30M,6,14
16,12:42M6D33M,178:47M1I27M,118,11
17,178:47M1I27M,36:45M7D30M,11,2
18,1220:49M26S,664:40M1I1M9D33M,5,12
19,1233:49M9I17M,1586:31S44M,3,8
20,178:47M1I27M,80:49M11D26M,11,28
21,1432:48M5I22M,558:44M3D3M6I22M,18,4
22,178:47M1I27M,28:44M9D31M,11,43
23,1039:51M24S,23:30M20D45M,6,7
24,1039:51M24S,176:22S37M3D16M,6,2
25,194:48M3I24M,361:50M7I18M,2,7
26,23:30M20D45M,370:46M6I23M,7,6
27,23:30M20D45M,664:40M1I1M9D33M,7,12
28,370:46M6I23M,664:40M1I1M9D33M,6,12
29,35:43M21D32M,930:47M1I5M6I16M,192,2
30,1586:31S44M,28:44M9D31M,8,43
31,14:44M3D31M,664:40M1I1M9D33M,3,12
32,13:46M6D29M,219:48M27S,4,6
33,13:46M6D29M,42:46M3D29M,4,5
34,13:46M6D29M,17:48M10D27M,4,1
35,13:46M6D29M,47:47M2D28M,4,2
36,139:43M4D32M,47:47M2D28M,1,2
37,139:43M4D32M,13:46M6D29M,1,4
38,557:45M5D30M,624:43M1I4M3D27M,14,1
39,102:31M22D44M,1649:75M,17,1
40,102:31M22D44M,1719:75M,17,1
41,1033:51M1I23M,13:46M6D29M,1,4
42,1033:51M1I23M,17:48M10D27M,1,1
43,1039:51M24S,1071:54M21S,6,1
44,1039:51M24S,370:46M6I23M,6,6
45,1039:51M24S,65:45M5D30M,6,1
46,1039:51M24S,958:48M27S,6,1
47,1071:54M21S,23:30M20D45M,1,7
48,109:46M2D29M,452:50M9I16M,2,5
49,1209:49M26S,2401:38M11D29M1D8M,9,1
50,1220:49M26S,23:30M20D45M,5,7
51,124:44M6D31M,1526:41M34S,1,9
52,124:44M6D31M,1735:75M,1,1
53,1299:49M26S,2774:54M21S,22,1
54,1299:49M26S,3139:47M28S,22,1
55,1299:49M26S,21:47M3D28M,22,1
56,1664:48M8D27M,24:31M18D44M,1,4
57,13:46M6D29M,624:43M1I4M3D27M,4,1
58,233:36M14D39M,3407:36M14D39M,1,1
59,219:48M27S,624:43M1I4M3D27M,6,1
60,21:47M3D28M,2774:54M21S,1,1
61,23:30M20D45M,2582:62M13S,7,1
62,14:44M3D31M,370:46M6I23M,3,6
63,23:30M20D45M,958:48M27S,7,1
64,2571:45M14D23M1D7M,748:40S35M,1,19
65,2582:62M13S,32:75M,1,27
66,3217:57M18S,60:30M1D45M,1,1
67,32:75M,901:46M29S,27,1
68,3353:42M6D9M12D24M,80:49M11D26M,1,28
69,370:46M6I23M,958:48M27S,6,1
70,38:43M6D32M,42:46M3D29M,1,5
71,1526:41M34S,1735:75M,9,1
72,1586:31S44M,1664:48M8D27M,8,1
73,1586:31S44M,24:31M18D44M,8,4
74,47:47M2D28M,664:40M1I1M9D33M,2,12
75,1690:75M,1800:75M,1,1
76,1690:75M,2851:50M25S,1,1
77,1719:75M,44:44M3D31M,1,16
78,1738:51M1D24M,178:47M1I27M,1,11
79,1738:51M1D24M,36:45M7D30M,1,2
80,176:22S37M3D16M,23:30M20D45M,2,7
81,176:22S37M3D16M,370:46M6I23M,2,6
82,176:22S37M3D16M,65:45M5D30M,2,1
83,176:22S37M3D16M,958:48M27S,2,1
84,1800:75M,2851:50M25S,1,1
85,1833:38M11D37M,28:44M9D31M,1,43
86,1973:45M14D30M,2195:27M1I18M14D29M,1,1
87,1981:38M11D37M,32:75M,1,27
88,1981:38M11D37M,664:40M1I1M9D33M,1,12
89,1997:47M6D28M,2253:45M1I12M17S,1,1
90,0,1337:45M1I12M17S,10000,89
91,0,12:42M6D33M,10000,118
92,0,11:43M7D32M,10000,28
93,0,35:43M21D32M,10000,192
94,0,1432:48M5I22M,10000,18
95,0,20:45M14D30M,10000,447
96,0,32:75M,10000,27
97,0,1209:49M26S,10000,9
98,0,1220:49M26S,10000,5
99,0,28:44M9D31M,10000,43
100,0,102:31M22D44M,10000,17
101,0,1299:49M26S,10000,22
102,0,23:30M20D45M,10000,7
103,0,219:48M27S,10000,6
104,0,178:47M1I27M,10000,11
105,0,1233:49M9I17M,10000,3
106,0,1039:51M24S,10000,6
107,0,194:48M3I24M,10000,2
108,0,370:46M6I23M,10000,6
109,0,1586:31S44M,10000,8
110,0,14:44M3D31M,10000,3
111,0,13:46M6D29M,10000,4
112,0,139:43M4D32M,10000,1
113,0,557:45M5D30M,10000,14
114,0,1033:51M1I23M,10000,1
115,0,1071:54M21S,10000,1
116,0,109:46M2D29M,10000,2
117,0,124:44M6D31M,10000,1
118,0,1664:48M8D27M,10000,1
119,0,233:36M14D39M,10000,1
120,0,21:47M3D28M,10000,1
121,0,2571:45M14D23M1D7M,10000,1
122,0,2582:62M13S,10000,1
123,0,3217:57M18S,10000,1
124,0,3353:42M6D9M12D24M,10000,1
125,0,38:43M6D32M,10000,1
126,0,1526:41M34S,10000,9
127,0,47:47M2D28M,10000,2
128,0,1690:75M,10000,1
129,0,1719:75M,10000,1
130,0,1738:51M1D24M,10000,1
131,0,176:22S37M3D16M,10000,2
132,0,1800:75M,10000,1
133,0,1833:38M11D37M,10000,1
134,0,1973:45M14D30M,10000,1
135,0,1981:38M11D37M,10000,1
136,0,1997:47M6D28M,10000,1
137,0,80:49M11D26M,10000,28
138,0,737:50M8D25M,10000,34
139,0,748:40S35M,10000,19
140,0,664:40M1I1M9D33M,10000,12
141,0,67:48M1I26M,10000,12
142,0,558:44M3D3M6I22M,10000,4
143,0,44:44M3D31M,10000,16
144,0,36:45M7D30M,10000,2
145,0,361:50M7I18M,10000,7
146,0,930:47M1I5M6I16M,10000,2
147,0,42:46M3D29M,10000,5
148,0,17:48M10D27M,10000,1
149,0,624:43M1I4M3D27M,10000,1
150,0,1649:75M,10000,1
151,0,65:45M5D30M,10000,1
152,0,958:48M27S,10000,1
153,0,452:50M9I16M,10000,5
154,0,2401:38M11D29M1D8M,10000,1
155,0,1735:75M,10000,1
156,0,2774:54M21S,10000,1
157,0,3139:47M28S,10000,1
158,0,24:31M18D44M,10000,4
159,0,3407:36M14D39M,10000,1
160,0,60:30M1D45M,10000,1
161,0,901:46M29S,10000,1
162,0,2851:50M25S,10000,1
163,0,2195:27M1I18M14D29M,10000,1
164,0,2253:45M1I12M17S,10000,1
