,Scar1,Scar2,cellCount1,cellCount2
283,0,2473:43M21D32M,10000,1
284,0,2529:46M6D29M,10000,1
285,0,2643:75M,10000,1
286,0,2742:47M6D28M,10000,1
287,0,3206:44M9D31M,10000,1
288,0,373:42M1I5M3D27M,10000,1
289,0,432:39M2D5M1I30M,10000,12
290,0,664:40M1I1M9D33M,10000,40
291,0,3400:53M22S,10000,1
292,0,3427:46M8D29M,10000,1
293,0,3572:26M1I21M3D27M,10000,1
294,0,1653:75M,10000,1
295,0,1879:47M3D28M,10000,1
296,0,1910:47M6D28M,10000,1
297,0,1956:48M8D27M,10000,1
298,0,1967:46M3D29M,10000,1
299,0,1975:47M6D28M,10000,1
300,0,1985:75M,10000,1
301,0,199:30M1D16M3D29M,10000,1
302,0,2012:38M11D37M,10000,1
303,0,1682:75M,10000,1
304,0,1686:38M11D37M,10000,1
305,0,1688:43M4D32M,10000,1
306,0,1749:47M3D28M,10000,1
307,0,1751:51M1I23M,10000,1
308,0,1773:46M11I18M,10000,1
309,0,1802:38M11D37M,10000,1
310,0,1820:47M3D28M,10000,1
311,0,1845:47M3D28M,10000,1
312,0,2026:46M3D29M,10000,1
313,0,2279:30M1I14M9D30M,10000,1
314,0,2250:50M8D25M,10000,1
315,0,2255:37S38M,10000,1
316,0,2232:30S45M,10000,1
317,0,234:75M,10000,1
318,0,236:39M8D36M,10000,1
319,0,244:75M,10000,1
320,0,2103:43M21D32M,10000,1
321,0,2027:75M,10000,1
322,0,2047:47M3D11M1D17M,10000,1
323,0,2150:75M,10000,1
324,0,2216:47M3D28M,10000,1
325,0,779:34S41M,10000,78
326,0,624:43M1I4M3D27M,10000,59
327,0,737:50M8D25M,10000,21
328,0,557:45M5D30M,10000,57
329,0,97:49M9D26M,10000,14
330,0,65:45M5D30M,10000,5
331,0,61:46M29S,10000,4
332,0,69:48M2I25M,10000,5
333,0,86:46M4D29M,10000,2
334,0,47:47M2D28M,10000,4
335,0,89:75M,10000,8
336,0,709:50M4I21M,10000,3
337,0,60:30M1D45M,10000,3
338,0,93:48M1D27M,10000,2
339,0,2312:50M7I18M,10000,1
340,0,2772:54M21S,10000,1
341,0,2789:47M3D16M1I11M,10000,1
342,0,2132:44M3D31M,10000,1
343,0,78:46M11D29M,10000,1
344,0,1912:44M9D31M,10000,1
345,0,3292:44M31S,10000,1
346,0,1885:47M6D28M,10000,1
347,0,3512:30M20D45M,10000,1
348,0,2830:53M22S,10000,1
349,0,2123:43M21D32M,10000,1
350,0,3453:30M1D13M3D32M,10000,1
351,0,518:46M3D29M,10000,1
352,0,2535:54M21S,10000,1
353,0,958:48M27S,10000,1
354,0,901:46M29S,10000,1
355,0,2726:51M1I23M,10000,1
356,0,2178:75M,10000,1
357,0,19:75M,10000,3
358,0,3208:44M9D31M,10000,1
359,0,3507:30M20D45M,10000,1
360,0,3574:75M,10000,1
361,0,2907:49M26S,10000,1
362,0,3028:49M26S,10000,1
