,Scar1,Scar2,cellCount1,cellCount2
541,1220:49M26S,23:30M20D45M,6,31
542,3291:44M31S,44:44M3D31M,1,86
543,1686:38M11D37M,2178:75M,1,1
544,1686:38M11D37M,32:75M,1,157
545,2178:75M,32:75M,1,157
546,1065:52M7I16M,1466:44M31S,5,53
547,11:43M7D32M,1466:44M31S,33,53
548,104:27M22D48M,28:44M9D31M,26,99
549,104:27M22D48M,44:44M3D31M,26,86
550,1404:46M13I16M,44:44M3D31M,2,86
551,44:44M3D31M,89:75M,86,8
552,1033:51M1I23M,2000:46M3D29M,105,1
553,1202:49M26S,2000:46M3D29M,82,1
554,13:46M6D29M,2000:46M3D29M,171,1
555,2000:46M3D29M,624:43M1I4M3D27M,1,59
556,13:46M6D29M,18:47M9D28M,171,1
557,1466:44M31S,18:47M9D28M,53,1
558,28:44M9D31M,32:75M,99,157
559,32:75M,6:47M3I25M,157,40
560,1284:48M6I21M,97:49M9D26M,19,14
561,1033:51M1I23M,1718:46M3D29M,105,1
562,13:46M6D29M,1718:46M3D29M,171,1
563,1718:46M3D29M,28:44M9D31M,1,99
564,1718:46M3D29M,624:43M1I4M3D27M,1,59
565,104:27M22D48M,1466:44M31S,26,53
566,104:27M22D48M,97:49M9D26M,26,14
567,1369:46M29S,93:48M1D27M,2,2
568,1299:49M26S,32:75M,2,157
569,44:44M3D31M,557:45M5D30M,86,57
570,11:43M7D32M,2123:43M21D32M,33,1
571,13:46M6D29M,2166:45M4D30M,171,1
572,2166:45M4D30M,557:45M5D30M,1,57
573,337:46M8D29M,60:30M1D45M,22,3
574,1039:51M24S,1885:47M6D28M,38,1
575,104:27M22D48M,1885:47M6D28M,26,1
576,28:44M9D31M,35:43M21D32M,99,36
577,35:43M21D32M,6:47M3I25M,36,40
578,35:43M21D32M,779:34S41M,36,78
579,2027:75M,32:75M,1,157
580,2027:75M,3574:75M,1,1
581,32:75M,3574:75M,157,1
582,0,337:46M8D29M,0,22
583,0,28:44M9D31M,0,99
584,0,361:50M7I18M,0,96
585,0,6:47M3I25M,0,40
586,0,22:49M2D26M,0,11
587,0,11:43M7D32M,0,33
588,0,104:27M22D48M,0,26
589,0,1039:51M24S,0,38
590,0,1466:44M31S,0,53
591,0,1033:51M1I23M,0,105
592,0,32:75M,0,157
593,0,370:46M6I23M,0,45
594,0,1910:47M6D28M,0,1
595,0,23:30M20D45M,0,31
596,0,1202:49M26S,0,82
597,0,13:46M6D29M,0,171
598,0,664:40M1I1M9D33M,0,40
599,0,244:75M,0,1
600,0,3427:46M8D29M,0,1
601,0,103:29S46M,0,5
602,0,1065:52M7I16M,0,5
603,0,1092:53M22S,0,22
604,0,35:43M21D32M,0,36
605,0,122:50M5I20M,0,2
606,0,44:44M3D31M,0,86
607,0,2490:51M1I23M,0,1
608,0,1967:46M3D29M,0,1
609,0,2726:51M1I23M,0,1
610,0,1041:51M24S,0,42
611,0,26:49M26S,0,39
612,0,1879:47M3D28M,0,1
613,0,2101:75M,0,1
614,0,62:75M,0,14
615,0,139:43M4D32M,0,6
616,0,1802:38M11D37M,0,1
617,0,34:51M3I21M,0,13
618,0,1284:48M6I21M,0,19
619,0,143:46M4I25M,0,3
620,0,14:44M3D31M,0,16
621,0,194:48M3I24M,0,13
622,0,2232:30S45M,0,1
623,0,262:45M2I28M,0,17
624,0,2026:46M3D29M,0,1
625,0,2529:46M6D29M,0,1
626,0,2535:54M21S,0,1
627,0,1220:49M26S,0,6
628,0,3572:26M1I21M3D27M,0,1
629,0,1115:50M25S,0,5
630,0,737:50M8D25M,0,21
631,0,1751:51M1I23M,0,1
632,0,3208:44M9D31M,0,1
633,0,2742:47M6D28M,0,1
634,0,30:30M19D45M,0,3
635,0,3453:30M1D13M3D32M,0,1
636,0,219:48M27S,0,19
637,0,1956:48M8D27M,0,1
638,0,236:39M8D36M,0,1
639,0,1773:46M11I18M,0,1
640,0,2780:50M7I18M,0,1
641,0,757:30S45M,0,11
642,0,863:44M31S,0,9
643,0,432:39M2D5M1I30M,0,12
644,0,1380:46M29S,0,6
645,0,2312:50M7I18M,0,1
646,0,1257:49M26S,0,6
647,0,2256:34S41M,0,1
648,0,20:45M14D30M,0,11
649,0,3183:46M29S,0,1
650,0,518:46M3D29M,0,1
651,0,3190:46M6I23M,0,1
652,0,2216:47M3D28M,0,1
653,0,1845:47M3D28M,0,1
654,0,2991:49M26S,0,1
655,0,2255:37S38M,0,1
