,Scar1,Scar2,cellCount1,cellCount2
0,13:46M6D29M,1434:45M6I24M,178,136
1,13:46M6D29M,608:44M2I3M2D26M,178,115
2,13:46M6D29M,45:41M5D34M,178,144
3,0,13:46M6D29M,10000,178
4,0,1434:45M6I24M,10000,136
5,0,608:44M2I3M2D26M,10000,115
6,0,45:41M5D34M,10000,144
