,Scar1,Scar2,cellCount1,cellCount2
0,50:49M1D26M,762:31S44M,44,297
1,1130:49M26S,84:49M14D26M,50,64
2,204:51M4I20M,6:47M3I25M,211,240
3,11:43M7D32M,762:31S44M,18,297
4,392:75M,459:48M4I23M,290,14
5,392:75M,84:49M14D26M,290,64
6,1130:49M26S,392:75M,50,290
7,392:75M,50:49M1D26M,290,44
8,12:42M6D33M,762:31S44M,10,297
9,459:48M4I23M,6:47M3I25M,14,240
10,1215:49M26S,84:49M14D26M,4,64
11,1215:49M26S,762:31S44M,4,297
12,36:45M7D30M,762:31S44M,6,297
13,392:75M,776:75M,290,2
14,392:75M,787:75M,290,2
15,1130:49M26S,3570:49M26S,50,1
16,1786:47M1I27M,459:48M4I23M,1,14
17,1130:49M26S,2897:49M26S,50,1
18,11:43M7D32M,1990:47M3D28M,18,1
19,11:43M7D32M,2240:31S44M,18,1
20,1215:49M26S,3004:49M26S,4,1
21,12:42M6D33M,2126:42M6D33M,10,1
22,12:42M6D33M,3379:38M4D5M2D32M,10,1
23,3483:30M1D45M,459:48M4I23M,1,14
24,2242:31S44M,50:49M1D26M,1,44
25,2263:45M4D2M2D28M,578:45M4D2M2D28M,1,1
26,2339:37M1I10M6D27M,787:75M,1,2
27,0,50:49M1D26M,10000,44
28,0,1130:49M26S,10000,50
29,0,204:51M4I20M,10000,211
30,0,11:43M7D32M,10000,18
31,0,392:75M,10000,290
32,0,12:42M6D33M,10000,10
33,0,459:48M4I23M,10000,14
34,0,1215:49M26S,10000,4
35,0,36:45M7D30M,10000,6
36,0,1786:47M1I27M,10000,1
37,0,3483:30M1D45M,10000,1
38,0,2242:31S44M,10000,1
39,0,2263:45M4D2M2D28M,10000,1
40,0,2339:37M1I10M6D27M,10000,1
41,0,762:31S44M,10000,297
42,0,84:49M14D26M,10000,64
43,0,6:47M3I25M,10000,240
44,0,776:75M,10000,2
45,0,787:75M,10000,2
46,0,3570:49M26S,10000,1
47,0,2897:49M26S,10000,1
48,0,1990:47M3D28M,10000,1
49,0,2240:31S44M,10000,1
50,0,3004:49M26S,10000,1
51,0,2126:42M6D33M,10000,1
52,0,3379:38M4D5M2D32M,10000,1
53,0,578:45M4D2M2D28M,10000,1
