,Scar1,Scar2,cellCount1,cellCount2
192,1039:51M24S,1975:47M6D28M,52,1
193,1039:51M24S,1910:47M6D28M,52,1
194,1299:49M26S,21:47M3D28M,24,1
195,1299:49M26S,2774:54M21S,24,1
196,1299:49M26S,3139:47M28S,24,1
197,1071:54M21S,23:30M20D45M,1,50
198,124:44M6D31M,1735:75M,1,1
199,1202:49M26S,3462:30M1D20M1I24M,82,1
200,1202:49M26S,3481:30M1D12M1I4M3D28M,82,1
201,1041:51M24S,1912:44M9D31M,42,1
202,1202:49M26S,518:46M3D29M,82,1
203,1204:49M7I19M,1352:47M28S,9,6
204,1209:49M26S,2401:38M11D29M1D8M,9,1
205,103:29S46M,1065:52M7I16M,5,6
206,122:50M5I20M,2789:47M3D16M1I11M,2,1
207,122:50M5I20M,6:47M3I25M,2,41
208,863:44M31S,86:46M4D29M,9,2
209,2742:47M6D28M,3453:30M1D13M3D32M,1,1
210,2742:47M6D28M,30:30M19D45M,1,3
211,2726:51M1I23M,624:43M1I4M3D27M,1,60
212,2780:50M7I18M,779:34S41M,1,78
213,26:49M26S,3292:44M31S,39,1
214,26:49M26S,3032:49M26S,39,1
215,2643:75M,737:50M8D25M,1,55
216,2643:75M,62:75M,1,14
217,2780:50M7I18M,6:47M3I25M,1,41
218,2279:30M1I14M9D30M,6:47M3I25M,1,41
219,3032:49M26S,6:47M3I25M,1,41
220,2991:49M26S,624:43M1I4M3D27M,1,60
221,2907:49M26S,557:45M5D30M,1,80
222,262:45M2I28M,86:46M4D29M,17,2
223,23:30M20D45M,2582:62M13S,50,1
224,244:75M,46:46M2D29M,1,24
225,244:75M,3427:46M8D29M,1,1
226,244:75M,337:46M8D29M,1,22
227,23:30M20D45M,3512:30M20D45M,50,1
228,23:30M20D45M,3507:30M20D45M,50,1
229,236:39M8D36M,47:47M2D28M,1,7
230,234:75M,2772:54M21S,1,1
231,233:36M14D39M,3407:36M14D39M,1,1
232,2470:45M30S,337:46M8D29M,1,22
233,2470:45M30S,62:75M,1,14
234,2470:45M30S,737:50M8D25M,1,55
235,2571:45M14D23M1D7M,748:40S35M,1,19
236,2535:54M21S,624:43M1I4M3D27M,1,60
237,2529:46M6D29M,624:43M1I4M3D27M,1,60
238,2529:46M6D29M,2535:54M21S,1,1
239,2490:51M1I23M,370:46M6I23M,1,51
240,2473:43M21D32M,737:50M8D25M,1,55
241,2472:43M21D32M,737:50M8D25M,1,55
242,2472:43M21D32M,62:75M,1,14
243,3032:49M26S,779:34S41M,1,78
244,304:47M6D28M,54:47M5D28M,1,9
245,30:30M19D45M,3453:30M1D13M3D32M,3,1
246,38:43M6D32M,42:46M3D29M,2,5
247,373:42M1I5M3D27M,737:50M8D25M,1,55
248,373:42M1I5M3D27M,62:75M,1,14
249,370:46M6I23M,518:46M3D29M,51,1
250,432:39M2D5M1I30M,958:48M27S,12,2
251,757:30S45M,86:46M4D29M,12,2
252,518:46M3D29M,624:43M1I4M3D27M,1,60
253,3183:46M29S,370:46M6I23M,1,51
254,3217:57M18S,60:30M1D45M,1,4
255,3208:44M9D31M,370:46M6I23M,1,51
256,3572:26M1I21M3D27M,779:34S41M,1,78
257,3206:44M9D31M,779:34S41M,1,78
258,3206:44M9D31M,6:47M3I25M,1,41
259,3190:46M6I23M,624:43M1I4M3D27M,1,60
260,3190:46M6I23M,370:46M6I23M,1,51
261,3183:46M29S,624:43M1I4M3D27M,1,60
262,3183:46M29S,518:46M3D29M,1,1
263,3572:26M1I21M3D27M,6:47M3I25M,1,41
